,area,number,direction
0,ABERDEEN CTA 1,0,clockwise
1,ABERDEEN CTA 2,0,clockwise
2,ABERDEEN CTA 2,1,anti-clockwise
3,ABERDEEN CTA 3,0,clockwise
4,ABERDEEN CTA 3,1,clockwise
5,BIRMINGHAM CTA 1,0,anti-clockwise
6,BIRMINGHAM CTA 1,1,clockwise
7,BIRMINGHAM CTA 2,0,clockwise
8,BIRMINGHAM CTA 2,1,anti-clockwise
9,BIRMINGHAM CTA 3,0,anti-clockwise
10,BIRMINGHAM CTA 3,1,clockwise
11,BIRMINGHAM CTA 4,0,clockwise
12,BIRMINGHAM CTA 4,1,anti-clockwise
13,BIRMINGHAM CTA 5,0,clockwise
14,BIRMINGHAM CTA 5,1,clockwise
15,BIRMINGHAM CTA 6,0,anti-clockwise
16,BIRMINGHAM CTA 8,0,clockwise
17,BIRMINGHAM CTA 8,1,clockwise
18,BIRMINGHAM CTA 10,0,anti-clockwise
19,BORDERS CTA 9,0,clockwise
20,BORDERS CTA 10,0,anti-clockwise
21,BRISTOL CTA 1,0,clockwise
22,BRISTOL CTA 1,1,anti-clockwise
23,BRISTOL CTA 2,0,anti-clockwise
24,BRISTOL CTA 2,1,clockwise
25,BRISTOL CTA 3,0,clockwise
26,BRISTOL CTA 3,1,anti-clockwise
27,BRISTOL CTA 4,0,anti-clockwise
28,BRISTOL CTA 5,0,clockwise
29,BRISTOL CTA 6,0,clockwise
30,BRISTOL CTA 6,1,anti-clockwise
31,BRISTOL CTA 8,0,anti-clockwise
32,CARDIFF CTA 1,0,clockwise
33,CARDIFF CTA 1,1,anti-clockwise
34,CARDIFF CTA 2,0,clockwise
35,CARDIFF CTA 2,1,anti-clockwise
36,CARDIFF CTA 3,0,anti-clockwise
37,CARDIFF CTA 3,1,clockwise
38,CARDIFF CTA 5,0,anti-clockwise
39,DAVENTRY CTA 9,0,clockwise
40,DAVENTRY CTA 18,0,anti-clockwise
41,DAVENTRY CTA 23,0,anti-clockwise
42,EDINBURGH CTA 1,0,anti-clockwise
43,EDINBURGH CTA 2,0,anti-clockwise
44,EDINBURGH CTA 3,0,anti-clockwise
45,EDINBURGH CTA 4,0,anti-clockwise
46,FARNBOROUGH CTA 2,0,clockwise
47,FARNBOROUGH CTA 3,0,clockwise
48,NEWCASTLE CTA 1,0,anti-clockwise
49,NEWCASTLE CTA 1,1,clockwise
50,NEWCASTLE CTA 2,0,clockwise
51,NEWCASTLE CTA 2,1,anti-clockwise
52,NEWCASTLE CTA 3,0,clockwise
53,NEWCASTLE CTA 3,1,anti-clockwise
54,NEWCASTLE CTA 4,0,anti-clockwise
55,NEWCASTLE CTA 5,0,anti-clockwise
56,NORWICH CTA 1,0,clockwise
57,NORWICH CTA 1,1,anti-clockwise
58,NORWICH CTA 1,2,anti-clockwise
59,NORWICH CTA 1,3,clockwise
60,PRESTWICK CTA 1,0,anti-clockwise
61,PRESTWICK CTA 1,1,clockwise
62,PRESTWICK CTA 2,0,clockwise
63,PRESTWICK CTA 3,0,clockwise
64,PRESTWICK CTA 4,0,clockwise
65,PRESTWICK CTA 4,1,anti-clockwise
66,PRESTWICK CTA 6,0,clockwise
67,PRESTWICK CTA 6,1,anti-clockwise
68,PRESTWICK CTA 6,2,anti-clockwise
69,SOLENT CTA 1,0,clockwise
70,SOLENT CTA 2,0,clockwise
71,SOLENT CTA 2,1,clockwise
72,SOLENT CTA 3,0,clockwise
73,SOLENT CTA 3,1,anti-clockwise
74,SOLENT CTA 5,0,anti-clockwise
75,SOUTHEND CTA 1,0,anti-clockwise
76,SOUTHEND CTA 3,0,clockwise
77,SOUTHEND CTA 3,1,anti-clockwise
78,SOUTHEND CTA 6,0,clockwise
79,SOUTHEND CTA 6,1,anti-clockwise
80,SOUTHEND CTA 10,0,anti-clockwise
81,STRANGFORD CTA 3,0,clockwise
82,STRANGFORD CTA 10,0,anti-clockwise
83,BELFAST TMA 1,0,clockwise
84,LONDON TMA 1,0,anti-clockwise
85,LONDON TMA 1,1,clockwise
86,LONDON TMA 3,0,clockwise
87,LONDON TMA 4,0,anti-clockwise
88,LONDON TMA 11,0,anti-clockwise
89,LONDON TMA 13,0,clockwise
